선수,연도,팀,연봉(만원),WAR
플로리얼,2025,한화,98000 ,1.60 
한유섬,2025,SSG,90000 ,0.39 
네일,2025,KIA,168000 ,3.07 
박세웅,2025,롯데,135000 ,2.14 
오스틴,2025,LG,168000 ,2.80 
카디네스,2025,키움,63000 ,0.07 
김원중,2025,롯데,110000 ,1.15 
유강남,2025,롯데,110000 ,1.80 
서진용,2025,SSG,38000 ,-0.01 
최주환,2025,키움,30000 ,-0.01 
에레디아,2025,SSG,224000 ,0.32 
박병호,2025,삼성,38000 ,0.33 
전상현,2025,KIA,30000 ,-0.09 
배정대,2025,KT,34000 ,-0.25 
홍창기,2025,LG,65000 ,0.73 
이형종,2025,키움,60000 ,0.06 
와이스,2025,한화,84000 ,2.02 
원태인,2025,삼성,63000 ,2.54 
오승환,2025,삼성,80000 ,0.00 
채은성,2025,한화,60000 ,0.31 
박건우,2025,NC,70000 ,0.46 
앤더슨,2025,SSG,161000 ,2.77 
폰세,2025,한화,112000 ,3.55 
화이트,2025,SSG,140000 ,1.93 
노진혁,2025,롯데,70000 ,0.00 
나성범,2025,KIA,80000 ,-0.18 
안치홍,2025,한화,50000 ,-0.87 
잭로그,2025,두산,98000 ,1.58 
홍건희,2025,두산,30000 ,0.00 
강승호,2025,두산,37000 ,1.26 
정해영,2025,KIA,36000 ,0.72 
로하스,2025,KT,210000 ,1.35 
위즈덤,2025,KIA,112000 ,1.40 
김진성,2025,LG,33000 ,0.32 
전준우,2025,롯데,40000 ,1.16 
곽빈,2025,두산,38000 ,0.00 
푸이그,2025,키움,140000 ,-0.08 
디아즈,2025,삼성,70000 ,2.06 
임기영,2025,KIA,30000 ,-0.13 
박성한,2025,SSG,37000 ,1.76 
에르난데스,2025,LG,112000 ,-0.03 
조상우,2025,KIA,40000 ,0.68 
치리노스,2025,LG,112000 ,2.07 
류지혁,2025,삼성,60000 ,1.11 
라일리,2025,NC,72800 ,2.18 
케이브,2025,두산,112000 ,1.49 
쿠에바스,2025,KT,140000 ,0.08 
양의지,2025,두산,160000 ,2.87 
데이비슨,2025,롯데,70000 ,2.83 
장성우,2025,KT,50000 ,1.13 
양석환,2025,두산,30000 ,1.21 
류현진,2025,한화,200000 ,2.02 
박민우,2025,NC,90000 ,2.26 
심우준,2025,한화,50000 ,-0.10 
강민호,2025,삼성,40000 ,1.03 
한현희,2025,롯데,100000 ,0.07 
박세혁,2025,NC,60000 ,-0.46 
박종훈,2025,SSG,110000 ,0.03 
콜어빈,2025,두산,112000 ,1.12 
강백호,2025,KT,70000 ,0.41 
양현종,2025,KIA,50000 ,0.67 
백정현,2025,삼성,40000 ,1.23 
헤이수스,2025,KT,112000 ,0.93 
박동원,2025,LG,120000 ,3.38 
고영표,2025,KT,200000 ,1.98 
데이비슨,2025,NC,168000 ,1.01 
엄상백,2025,한화,90000 ,-0.02 
올러,2025,KIA,84000 ,2.17 
반즈,2025,롯데,133000 ,0.33 
레예스,2025,삼성,98000 ,1.30 
최재훈,2025,한화,50000 ,1.30 
김태군,2025,KIA,70000 ,0.99 
정수빈,2025,두산,60000 ,1.67 
원종현,2025,키움,50000 ,-0.68 
감보아,2025,롯데,35000 ,-0.01 
김광현,2025,SSG,300000 ,1.47 
노경은,2025,SSG,40000 ,0.87 
구자욱,2025,삼성,200000 ,0.58 
레이예스,2025,롯데,112000 ,1.75 
황재균,2025,KT,50000 ,1.71 
최지훈,2025,SSG,30000 ,1.25 
로젠버그,2025,키움,98000 ,1.77 
김현수,2025,LG,50000 ,1.52 
김선빈,2025,KIA,60000 ,0.90 
박해민,2025,LG,60000 ,1.15 
문승원,2025,SSG,80000 ,1.50 
로건,2025,NC,78400 ,1.68 
노시환,2025,한화,33000 ,1.33 
김도영,2025,KIA,50000 ,1.68 
문보경,2025,LG,41000 ,3.15 
김상수,2025,KT,30000 ,0.18 
박찬호,2025,KIA,45000 ,1.44 
최원준,2025,KIA,40000 ,-1.24 
손아섭,2025,NC,50000 ,1.29 
김재환,2025,두산,100000 ,0.97 
후라도,2025,삼성,98000 ,3.43 
김재윤,2025,삼성,80000 ,-0.31 
허경민,2025,KT,30000 ,0.28 
최정,2025,SSG,170000 ,0.52 
최형우,2025,KIA,100000 ,2.76 
