location,date,avg_t,tmin,tmax,avg_ws(m/s)
seoul,2025-01-20,3.9 ,0.9 ,7.5 ,1.7 
seoul,2025-01-21,2.4 ,-1.0 ,6.3 ,1.6 
seoul,2025-01-22,3.6 ,0.5 ,7.7 ,1.9 
seoul,2025-01-23,2.0 ,-2.4 ,7.7 ,1.6 
seoul,2025-01-24,3.1 ,-2.7 ,10.6 ,1.5 
seoul,2025-01-25,5.2 ,1.2 ,11.4 ,3.1 
seoul,2025-01-26,4.6 ,1.8 ,7.5 ,2.8 
seoul,2025-01-27,0.2 ,-2.7 ,5.1 ,3.5 
seoul,2025-01-28,-3.9 ,-5.3 ,-2.5 ,4.0 
seoul,2025-01-29,-4.6 ,-6.4 ,-1.3 ,3.1 
seoul,2025-01-30,-3.8 ,-7.5 ,-1.0 ,1.6 
seoul,2025-01-31,-0.8 ,-2.6 ,0.7 ,2.1 
seoul,2025-02-01,1.6 ,-2.0 ,7.9 ,1.6 
seoul,2025-02-02,1.5 ,-2.5 ,6.8 ,2.0 
seoul,2025-02-03,-4.1 ,-8.2 ,0.6 ,4.2 
seoul,2025-02-04,-9.0 ,-11.5 ,-5.3 ,3.7 
seoul,2025-02-05,-8.6 ,-11.8 ,-3.7 ,3.2 
seoul,2025-02-06,-5.6 ,-11.5 ,-0.2 ,1.7 
seoul,2025-02-07,-8.0 ,-10.7 ,-4.7 ,3.9 
seoul,2025-02-08,-7.9 ,-11.5 ,-3.4 ,2.8 
seoul,2025-02-09,-4.7 ,-9.6 ,1.7 ,2.2 
seoul,2025-02-10,-2.6 ,-7.5 ,2.6 ,2.1 
seoul,2025-02-11,0.5 ,-5.7 ,7.0 ,2.0 
seoul,2025-02-12,0.5 ,-2.9 ,2.5 ,2.6 
seoul,2025-02-13,0.2 ,-5.8 ,6.1 ,2.2 
seoul,2025-02-14,3.7 ,-1.6 ,10.1 ,1.9 
seoul,2025-02-15,4.1 ,0.4 ,7.8 ,1.6 
seoul,2025-02-16,4.3 ,0.4 ,9.7 ,2.5 
seoul,2025-02-17,-0.3 ,-3.4 ,3.5 ,3.6 
